gamma,ann_ret,ann_vol,sharpe,mdd,sigma_L,sigma_S,nL,nS,overlap_per_month
0.0000,0.2191,0.1966,1.1091,-0.2482,0.1419,0.1084,513.5329,363.6287,0.0000
0.0500,0.1914,0.1894,1.0212,-0.1838,0.1356,0.1003,498.8084,351.2635,0.0000
0.1000,0.1877,0.1888,1.0070,-0.1838,0.1292,0.0937,482.5928,343.5808,0.0000
0.1500,0.1706,0.1802,0.9650,-0.1569,0.1205,0.0886,463.5090,336.9521,0.1257
0.2000,0.1684,0.1722,0.9909,-0.1456,0.1132,0.0850,442.9820,331.6287,0.6108
0.2500,0.1558,0.1647,0.9616,-0.1271,0.1072,0.0819,420.5689,326.4551,2.0599
0.3000,0.1404,0.1566,0.9166,-0.1288,0.1013,0.0795,400.6587,320.4192,6.2455
0.3500,0.1247,0.1470,0.8719,-0.1140,0.0961,0.0773,382.0719,315.5868,13.0599
0.4000,0.0914,0.1183,0.7998,-0.1438,0.0913,0.0754,367.8263,311.5629,22.5808
0.4500,0.0955,0.1165,0.8432,-0.1177,0.0883,0.0740,355.9760,308.7665,31.5449
0.5000,0.0843,0.1124,0.7780,-0.1156,0.0859,0.0729,345.0719,304.8862,40.7725
0.6000,0.0636,0.0970,0.6849,-0.0979,0.0815,0.0704,327.8683,298.6707,59.1257
0.7000,0.0561,0.0841,0.6918,-0.1117,0.0778,0.0685,315.2635,293.3952,77.1078
0.8000,0.0366,0.0689,0.5559,-0.1176,0.0742,0.0672,304.8802,289.4072,93.2156
0.9000,0.0288,0.0567,0.5296,-0.0990,0.0710,0.0660,296.3533,286.1796,107.6766
1.0000,0.0230,0.0524,0.4609,-0.0941,0.0691,0.0650,290.1317,282.8683,121.3353
1.2500,0.0079,0.0449,0.1976,-0.1106,0.0658,0.0635,278.7964,277.6707,150.6347
1.5000,0.0017,0.0388,0.0622,-0.1110,0.0643,0.0627,269.9341,274.4910,170.4371
2.0000,-0.0012,0.0308,-0.0242,-0.1020,0.0633,0.0622,263.1317,271.7186,195.5749
