date,pi_filter
1995-01-31,0.2602810942524826
1995-02-28,0.5074714318549485
1995-03-31,0.620020119940888
1995-04-28,0.6632670930657838
1995-05-31,0.687251883137051
1995-06-30,0.6981031916403324
1995-07-31,0.7122425379842174
1995-08-31,0.7083339286932617
1995-09-29,0.7087075215517783
1995-10-31,0.6829967336331638
1995-11-30,0.6428445672101148
1995-12-29,0.487139170941848
1996-01-31,0.0234018242424019
1996-02-29,0.021962538657315
1996-03-29,0.0192630146859096
1996-04-30,0.0702544135266965
1996-05-31,0.17716646620295
1996-06-28,0.142617407418422
1996-07-31,0.1389593510811272
1996-08-30,0.1385240021989567
1996-09-30,0.1347135811286617
1996-10-31,0.1375176411225674
1996-11-29,0.1429549591976629
1996-12-31,0.1368405432103129
1997-01-31,0.0036288506596591
1997-02-28,0.0020342187293696
1997-03-31,0.001515642697293
1997-04-30,0.0035600342919064
1997-05-30,0.0048226336478113
1997-06-30,0.0059919313908359
1997-07-31,0.0092573395354649
1997-08-29,0.0129952576198629
1997-09-30,0.0151172412766865
1997-10-31,0.0190203396063675
1997-11-28,0.0215791661569263
1997-12-31,0.0193197539463265
1998-01-30,0.0011652886827288
1998-02-27,0.0010319700115314
1998-03-31,0.0014453543304075
1998-04-30,0.0062580287483429
1998-05-29,0.0098095621523558
1998-06-30,0.0070224070625065
1998-07-31,0.0087837862683372
1998-08-31,0.2985997813118279
1998-09-30,0.5310874439431145
1998-10-30,0.9051643554987414
1998-11-30,0.9999498396386542
1998-12-31,0.999999999910056
1999-01-29,0.999999995374459
1999-02-26,0.9999994465708022
1999-03-31,0.9999164039811156
1999-04-30,0.9998688208918436
1999-05-28,0.990116264431494
1999-06-30,0.9051109483606342
1999-07-30,0.9704733755979656
1999-08-31,0.9681606647885508
1999-09-30,0.9995286241459382
1999-10-29,0.9901008540328644
1999-11-30,0.9999920482523704
1999-12-31,0.9997012265520812
2000-01-31,0.999997277354312
2000-02-29,0.9999999508130184
2000-03-31,0.9887160355129636
2000-04-28,0.9999440992192332
2000-05-31,0.9999999690999756
2000-06-30,0.9999993260080576
2000-07-31,0.999530251200361
2000-08-31,0.9516112068344916
2000-09-29,0.9968617474785612
2000-10-31,0.999997404738154
2000-11-30,1.0
2000-12-29,1.0
2001-01-31,1.0
2001-02-28,1.0
2001-03-30,1.0
2001-04-30,1.0
2001-05-31,1.0
2001-06-29,1.0
2001-07-31,1.0
2001-08-31,1.0
2001-09-28,1.0
2001-10-31,1.0
2001-11-30,1.0
2001-12-31,1.0
2002-01-31,0.885
2002-02-28,0.885
2002-03-28,0.885
2002-04-30,0.885
2002-05-31,0.885
2002-06-28,0.885
2002-07-31,0.885
2002-08-30,0.885
2002-09-30,0.885
2002-10-31,0.885
2002-11-29,0.885
2002-12-31,0.885
2003-01-31,0.99
2003-02-28,0.99
2003-03-31,0.99
2003-04-30,0.9899999999999932
2003-05-30,0.989999711901532
2003-06-30,0.9900000056138109
2003-07-31,0.990000342050062
2003-08-29,0.9900003870262736
2003-09-30,0.9900024990977856
2003-10-31,0.9900140410220756
2003-11-28,0.990073702523387
2003-12-31,0.9903424672019038
2004-01-30,0.9971650379754284
2004-02-27,0.9217424569897776
2004-03-31,0.7723133490004969
2004-04-30,0.6278714635633709
2004-05-28,0.40210211111561
2004-06-30,0.3932946947767306
2004-07-30,0.3916886001520769
2004-08-31,0.4551771849242153
2004-09-30,0.3884153197252719
2004-10-29,0.2340843841089668
2004-11-30,0.0513596975402171
2004-12-31,0.0024802899398963
2005-01-31,6.0573083063804184e-05
2005-02-28,4.356022832345289e-05
2005-03-31,6.734708257743082e-05
2005-04-29,0.0002105093143721
2005-05-31,0.0008153394885036
2005-06-30,0.0023105944490104
2005-07-29,0.0019410474721636
2005-08-31,0.0009977750094123
2005-09-30,0.0038805785468541
2005-10-31,0.0129545342250181
2005-11-30,0.0397156712878728
2005-12-30,0.0686035897080837
2006-01-31,0.1212539674382972
2006-02-28,0.1203042866033206
2006-03-31,0.1201722061546139
2006-04-28,0.1201019755461755
2006-05-31,0.1200503540343225
2006-06-30,0.1200850551888876
2006-07-31,0.1201587436001218
2006-08-31,0.1201450989266911
2006-09-29,0.1201520693939278
2006-10-31,0.1201920208563818
2006-11-30,0.1200861953023199
2006-12-29,0.1201069181619961
2007-01-31,0.659993240860372
2007-02-28,0.6599970856221362
2007-03-30,0.659994925624507
2007-04-30,0.6599937884389306
2007-05-31,0.6599870032422274
2007-06-29,0.6599978409144911
2007-07-31,0.6599251887018324
2007-08-31,0.6599061237028357
2007-09-28,0.6599939002490061
2007-10-31,0.6598377235196204
2007-11-30,0.6426220082556447
2007-12-31,0.4271380132385446
2008-01-31,0.1000068101261957
2008-02-29,0.1000000000066869
2008-03-31,0.100000000000132
2008-04-30,0.1000000004634408
2008-05-30,0.1000000417716808
2008-06-30,0.1000000000000001
2008-07-31,0.1
2008-08-29,0.1
2008-09-30,0.1
2008-10-31,0.1
2008-11-28,0.1
2008-12-31,0.1
2009-01-30,0.26
2009-02-27,0.26
2009-03-31,0.26
2009-04-30,0.26
2009-05-29,0.26
2009-06-30,0.26
2009-07-31,0.26
2009-08-31,0.2600000000005668
2009-09-30,0.26799629519529267
2009-10-30,0.34002874568499913
2009-11-30,0.33414420440923887
2009-12-31,0.40401425361578214
2010-01-29,0.5612257728995889
2010-02-26,0.11730466802838459
2010-03-31,0.05830680667475265
2010-04-30,0.018635539589627735
2010-05-28,0.47313343323482604
2010-06-30,0.9999998979898181
2010-07-30,0.9993941995866165
2010-08-31,0.9999995527245616
2010-09-30,0.7785653462967064
2010-10-29,0.1719334140006083
2010-11-30,0.022549842631268545
2010-12-31,0.008726184483907969
2011-01-31,0.000844436535406985
2011-02-28,0.0007674386808380438
2011-03-31,0.0003345159639275181
2011-04-29,0.00029773258847609195
2011-05-31,0.0004201732674051373
2011-06-30,0.0024920400620954183
2011-07-29,0.02329848948040537
2011-08-31,0.9993168943465613
2011-09-30,1.0
2011-10-31,0.9999999839534293
2011-11-30,0.9999998829240332
2011-12-30,0.9999993341008906
2012-01-31,0.9998410018930829
2012-02-29,0.923551554897123
2012-03-30,0.7102090053832923
2012-04-30,0.4615540781244454
2012-05-31,0.9938516352719279
2012-06-29,0.9957871074515166
2012-07-31,0.9993400315916646
2012-08-31,0.9954008138011737
2012-09-28,0.9709244098590833
2012-10-31,0.43628129718761793
2012-11-30,0.02778352133875953
2012-12-31,0.001071023433495165
2013-01-31,0.001619760755136708
2013-02-28,0.001273087947446173
2013-03-28,0.001205904029093702
2013-04-30,0.0011474672021819356
2013-05-31,0.0008264787462426905
2013-06-28,0.0008025119382276301
2013-07-31,0.0010633826940013736
2013-08-30,0.0005651839704747454
2013-09-30,0.00028839680207910686
2013-10-31,0.0002916743956172791
2013-11-29,0.00020881492180101007
2013-12-31,0.0002287724274260769
2014-01-31,0.00012396783991676448
2014-02-28,0.00023004321948956547
2014-03-31,6.931192278956307e-05
2014-04-30,9.953480534984264e-05
2014-05-30,0.0001254132500571363
2014-06-30,4.580819404828621e-05
2014-07-31,1.5621883291431088e-05
2014-08-29,1.2586677667552424e-05
2014-09-30,1.07853677744725e-05
2014-10-31,1.3829893158833886e-05
2014-11-28,7.153882821718393e-05
2014-12-31,7.948757640657918e-05
2015-01-30,0.0004107360490217587
2015-02-27,0.00016977444790198187
2015-03-31,0.00022917896511445192
2015-04-30,0.0008918350097392607
2015-05-29,0.0003080621893961444
2015-06-30,0.00030155475757797083
2015-07-31,0.001119578380305397
2015-08-31,0.8699989021397952
2015-09-30,0.9999950755766719
2015-10-30,0.9998224540224614
2015-11-30,0.9999932287227543
2015-12-31,0.999998829012102
2016-01-29,0.9999999999865665
2016-02-29,0.9999999999299548
2016-03-31,0.9997658022344297
2016-04-29,0.9476209708083002
2016-05-31,0.7028583635279548
2016-06-30,0.320457616102276
2016-07-29,0.0446667736580677
2016-08-31,0.005879337594692061
2016-09-30,0.007014232736791407
2016-10-31,0.001110355911063109
2016-11-30,0.0016516454292426208
2016-12-30,0.001248174131611145
2017-01-31,0.0015224086744991467
2017-02-28,0.0021595264650518665
2017-03-31,0.0019100964361098733
2017-04-28,0.0010494757882337639
2017-05-31,0.0009653658079425739
2017-06-30,0.001960433145762473
2017-07-31,0.0007715232476832199
2017-08-31,0.0006654669773730569
2017-09-29,0.0018948945607470719
2017-10-31,0.0006740006976980867
2017-11-30,0.0007374294542235856
2017-12-29,0.0008264686146150238
2018-01-31,0.0004762576357297286
2018-02-28,0.002571813585885359
2018-03-29,0.08705866365541225
2018-04-30,0.05654709782468859
2018-05-31,0.0031420375906628132
2018-06-29,0.0003423038432715047
2018-07-31,0.0004683931424953726
2018-08-31,0.0001969815394537926
2018-09-28,0.00020044536900728805
2018-10-31,0.2177091882606029
2018-11-30,0.3398178921882218
2018-12-31,0.9999999999758323
2019-01-31,0.9999999687158863
2019-02-28,0.9673645273454823
2019-03-29,0.8068777697032548
2019-04-30,0.17651823752385762
2019-05-31,0.4406693396008138
2019-06-28,0.07414628868745536
2019-07-31,0.004897021422797328
2019-08-30,0.0005618400499831616
2019-09-30,0.0003583578147063174
2019-10-31,0.0004851795224414275
2019-11-29,0.0011308203768088994
2019-12-31,0.0013502517538029086
2020-01-31,0.004955712913760567
2020-02-28,0.982026107483467
2020-03-31,1.0
2020-04-30,0.9999999999999999
2020-05-29,0.9999997329282391
2020-06-30,0.9999298067896204
2020-07-31,0.9801606103344201
2020-08-31,0.5359357711834741
2020-09-30,0.12156016729026838
2020-10-30,0.12845137077594113
2020-11-30,0.01637178460941001
2020-12-31,0.0002768329771033132
2021-01-29,0.0003885474498484667
2021-02-26,1.1063156605348547e-06
2021-03-31,8.820491305392723e-07
2021-04-30,9.169836292667583e-07
2021-05-28,9.826690601729605e-07
2021-06-30,6.257805166200465e-07
2021-07-30,2.47312097567109e-06
2021-08-31,1.3116168512096278e-06
2021-09-30,5.319257479884596e-07
2021-10-29,8.448233230303506e-07
2021-11-30,2.4040436785487803e-07
2021-12-31,8.437959980594241e-07
2022-01-31,1.6558072647583113e-06
2022-02-28,0.00012504762831963884
2022-03-31,1.4366933159275582e-05
2022-04-29,0.9925945088075795
2022-05-31,0.9999104831263149
2022-06-30,1.0
2022-07-29,0.9999999999381883
2022-08-31,0.9999999999999996
2022-09-30,1.0
2022-10-31,1.0
2022-11-30,0.9999999999999958
2022-12-30,1.0
2023-01-31,0.9999999987714591
2023-02-28,0.9999999973215304
2023-03-31,0.8995763093234521
2023-04-28,0.6085904305294065
2023-05-31,0.5933606126830611
2023-06-30,0.45481778461898936
2023-07-31,0.25881030120421505
2023-08-31,0.4007339555428188
2023-09-29,0.9935166877310345
2023-10-31,0.9999999983001903
2023-11-30,0.9970327727569038
2023-12-29,0.9967308183511235
2024-01-31,0.982768492493863
2024-02-29,0.9972376533262739
2024-03-28,0.9945479318425187
2024-04-30,0.9987548366763477
2024-05-31,0.9999967439141387
2024-06-28,0.9777008485477299
2024-07-31,0.9956516627891285
2024-08-30,0.9761969013726481
2024-09-30,0.9400557443407397
2024-10-31,0.9949854908170185
2024-11-29,0.9999980578351295
